State,name,datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,severerisk
Maharashtra,Solapur,28-10-2023,89.1,68.4,78.2,47.4,35.7,0,0,24.2,13.2,69.8,1013.1,3.7,15,265.8,9,10
Maharashtra,Solapur,29-10-2023,90.6,68.4,79.1,50.6,38.3,0,0,26.6,14.5,68.9,1012.5,2.6,15,258.5,9,10
Maharashtra,Solapur,30-10-2023,91.1,70.1,80.3,52.9,39.8,0,0,26.2,16.1,78.8,1012.1,26.6,15,254.3,9,10
Maharashtra,Solapur,31-10-2023,91.1,70.2,80.1,53,40.5,0,0,25.3,14.1,75.2,1012.8,2.4,15,253.1,9,10
Maharashtra,Solapur,01-11-2023,91.1,69.7,79.7,52.9,40.9,0,0,23.7,13.4,64.8,1013.3,2.9,15,252.9,9,10
Maharashtra,Solapur,02-11-2023,91.8,70.2,80,53.4,41.4,0,0,21,12.5,64.4,1012.8,59.3,15,279,8,10
Maharashtra,Solapur,03-11-2023,91.8,71,80.5,52.9,40.1,0,0,23.9,13,65,1011,61.9,15,250.9,8,10
Maharashtra,Solapur,04-11-2023,91.1,70.4,79.9,48.3,34.4,0,0,21.3,11.9,81,1010.9,44,15,231.6,8,10
Maharashtra,Solapur,05-11-2023,91.3,70.4,79.9,47.5,33.3,0,4.8,24.8,13,82.7,1011.5,31.8,15,249.9,8,10
Maharashtra,Solapur,06-11-2023,91.1,70.2,79.6,47.7,33.9,0,4.8,25.7,13.4,81.1,1012.5,12.2,15,250.6,8,10
Maharashtra,Solapur,07-11-2023,90.9,69.3,79.3,47.3,33.8,0,4.8,20.7,12.1,89,1012.4,0.6,15,251.9,8,10
Maharashtra,Solapur,08-11-2023,91.1,68.8,79.1,50.6,38.4,0,14.3,22.1,12.3,95.8,1012.5,1.9,15,249.5,8,10
Maharashtra,Solapur,09-11-2023,92,68.6,79.3,52.9,41.4,0,14.3,24.6,13.2,89.8,1013.4,4.8,15,246,8,10
Maharashtra,Solapur,10-11-2023,91.8,69.7,79.6,51.4,39.5,0,4.8,22.8,13.9,78.5,1013.6,35.6,15,245.9,8,10
Maharashtra,Solapur,11-11-2023,92.2,69.7,79.6,47.9,34.5,0,19,20.8,15.7,69.5,1012.2,53.6,15,244.1,8,10
West Bengal,Hooghly,28-10-2023,85.9,72.2,80.2,69.6,71.2,0,0,11.2,8.1,355.9,1012.8,31.5,3.5,238.9,8,10
West Bengal,Hooghly,29-10-2023,86.4,69.3,77,58.7,54.3,0,0,8.7,7.4,343.5,1012.6,14.2,15,240,8,10
West Bengal,Hooghly,30-10-2023,86.6,69.3,77.2,61.1,58.6,0,0,9.4,7.6,347.9,1012.3,5,15,236.5,8,10
West Bengal,Hooghly,31-10-2023,88.6,70.1,78.5,60.7,56.5,0,0,8.1,6.7,19.3,1013.3,17.2,15,236.9,8,10
West Bengal,Hooghly,01-11-2023,89.5,70.8,79.5,63,58.2,0,0,6.5,6.3,346.1,1013.3,4.4,15,230.4,8,10
West Bengal,Hooghly,02-11-2023,89.3,73.1,80.5,64.5,59,0,4.8,9.2,7.2,336.7,1011.8,10.6,15,261.4,8,10
West Bengal,Hooghly,03-11-2023,89.3,72.4,80.4,62.4,55.5,0,14.3,6,5.6,331.3,1009.6,2,15,229.4,7,10
West Bengal,Hooghly,04-11-2023,88.6,72.6,79.5,61.1,54.1,0,19,5.1,4,48.8,1009.8,37.9,15,160.6,7,10
West Bengal,Hooghly,05-11-2023,89.1,70.8,79.2,56.4,46.5,0,0,8.9,7.8,298.2,1010.9,2.1,15,229.9,7,10
West Bengal,Hooghly,06-11-2023,88.1,70.2,78.3,57.3,49.5,0,4.8,8.3,6.7,15.5,1011.8,0.1,15,227.9,7,10
West Bengal,Hooghly,07-11-2023,87.7,70.1,78.1,57.9,50.5,0,4.8,10.7,8.1,359.6,1011.6,2.5,15,226.1,7,10
West Bengal,Hooghly,08-11-2023,87.2,69.7,77.7,57.5,50.6,0,0,9.6,9.4,331.4,1012.2,1,15,225.8,7,10
West Bengal,Hooghly,09-11-2023,87.3,69.2,77.6,59.2,54.4,0,0,8.7,8.1,335.8,1012.8,0,15,224.8,7,10
West Bengal,Hooghly,10-11-2023,88.1,69.2,77.8,59.7,54.9,0,0,8.7,6.9,341.7,1012.6,0.2,15,224.4,7,10
West Bengal,Hooghly,11-11-2023,88.2,69.3,78.1,57.5,50.5,0,0,10.3,8.5,341,1010.7,1.8,15,223.9,7,10
Kerala,Kozhikode,28-10-2023,87.7,73.3,78.8,74,86.2,0.334,100,7.6,9.2,34.8,1010.5,79.5,2.9,261.7,9,30
Kerala,Kozhikode,29-10-2023,84.5,76.2,80.3,73.1,79.2,0.195,100,8.1,7.8,315.7,1010.7,45.9,14.3,266.4,9,30
Kerala,Kozhikode,30-10-2023,84.8,75.1,79.8,73.2,81,0.524,100,10.3,7.6,298.4,1010.2,62.9,11.4,249.5,9,30
Kerala,Kozhikode,31-10-2023,83.6,76,79.1,73.4,82.8,1.088,100,5.6,5.1,240,1011.2,90.1,10.4,207.4,8,30
Kerala,Kozhikode,01-11-2023,83.7,75.6,79,73.4,83.4,0.186,81,10.3,8.1,323.4,1011.3,67,14.5,258.4,9,30
Kerala,Kozhikode,02-11-2023,85.4,75.3,80.1,73.1,79.7,0.016,71.4,8.5,8.3,268.4,1010.6,55.6,15,303.4,9,30
Kerala,Kozhikode,03-11-2023,85,76.4,80.6,73.5,79.5,0.052,90.5,7.2,8.5,198,1009,62.3,14.7,261.8,9,30
Kerala,Kozhikode,04-11-2023,85,76,80.2,73.6,80.9,0.188,90.5,7.8,7.6,169,1009.1,92,14.5,230.1,8,30
Kerala,Kozhikode,05-11-2023,84.3,76.2,79.6,73.6,82.2,0.468,90.5,7.4,7.4,144.3,1010,98.3,14.2,187.1,7,30
Kerala,Kozhikode,06-11-2023,84.3,75.6,79.7,73.5,81.8,0.158,85.7,8.5,8.7,279.3,1010.5,72.1,14.3,239.6,8,30
Kerala,Kozhikode,07-11-2023,84.8,75.1,79.8,72.8,79.8,0.244,85.7,8.1,7.8,260.9,1010.3,15.2,14.6,262.6,8,30
Kerala,Kozhikode,08-11-2023,85.7,75.5,80.3,72.6,77.9,0.028,66.7,8.1,10.1,207.5,1009.9,2.5,15,264.3,9,30
Kerala,Kozhikode,09-11-2023,85.4,74.9,79.9,70.7,74.4,0.008,52.4,7.6,9.4,254.5,1010.3,4.9,15,265,9,30
Kerala,Kozhikode,10-11-2023,85.7,76,80.3,71.9,75.9,0.048,47.6,8.1,9.6,261.1,1010.4,4.4,14.7,259.3,8,30
Kerala,Kozhikode,11-11-2023,84.8,74,79.5,70.8,75.5,0,33.3,7.4,10.1,213.9,1008.9,60.8,15,266.3,9,10
Rajasthan,Jaipur,28-10-2023,85.9,69.7,78.2,53.2,42.9,0,0,9.4,4.7,69.4,1015.8,64,2.9,129.3,6,10
Rajasthan,Jaipur,29-10-2023,91.7,72.2,80.9,43.3,27.2,0,0,14.3,7.8,295,1013,35.2,15,208.7,8,10
Rajasthan,Jaipur,30-10-2023,92,71.7,82,43.3,26.5,0,0,8.5,5.8,323.2,1012.8,28.1,15,207.7,8,10
Rajasthan,Jaipur,31-10-2023,92.4,72.9,82.4,42.8,25.7,0,0,11.4,8.1,169.5,1013.8,30.8,15,204.7,8,10
Rajasthan,Jaipur,01-11-2023,92.2,72.2,82,42,25.4,0,0,12.1,8.7,271.1,1014.1,16.3,15,205.9,8,10
Rajasthan,Jaipur,02-11-2023,92.7,71.1,81.2,37.8,22,0,0,18.1,14.8,322.7,1012.9,8.4,15,234.7,7,10
Rajasthan,Jaipur,03-11-2023,92.2,71.7,80.7,35.6,20.5,0,0,13.2,11,317,1010.6,12.6,15,205.3,7,10
Rajasthan,Jaipur,04-11-2023,91.7,70.1,80.3,36.9,21.4,0,0,12.3,10.7,286.6,1010.5,45.3,15,194.3,7,10
Rajasthan,Jaipur,05-11-2023,92,72.8,80.8,41.5,25.3,0,4.8,17.9,9.6,276.7,1011,76.7,15,180.8,7,10
Rajasthan,Jaipur,06-11-2023,90.2,72.4,80.2,43.5,27.9,0.004,0,10.7,10.3,302,1012.2,68.8,15,153.8,5,10
Rajasthan,Jaipur,07-11-2023,90.1,71.5,79.9,39.6,24.3,0,4.8,7.6,5.1,331.7,1012.4,51.3,15,174.3,6,10
Rajasthan,Jaipur,08-11-2023,90.4,74.4,80.7,40.6,24.3,0,4.8,8.3,6,104.8,1012.8,31.5,15,184.3,7,10
Rajasthan,Jaipur,09-11-2023,89.7,71.5,79.9,43.6,28,0,9.5,6.9,5.8,107.5,1014.3,13.7,15,179.1,7,10
Rajasthan,Jaipur,10-11-2023,91.5,72.4,80.6,43.1,27.3,0,14.3,9.8,7.2,146.6,1014,17.9,15,191,7,10
Rajasthan,Jaipur,11-11-2023,91.3,72.9,80.7,45.5,29.5,0,19,18.1,12.1,308.9,1012.3,22.2,15,187.8,7,10
Punjab,Amritsar,28-10-2023,87.7,66.1,77.2,50.5,42.6,0,0,8.1,4.7,255.9,1014.3,59.1,3.3,160.9,6,10
Punjab,Amritsar,29-10-2023,91.7,76.4,83.4,42.3,23.9,0,0,9.4,5.8,117.3,1012.6,28.5,15,185,7,10
Punjab,Amritsar,30-10-2023,92.2,76,83.7,47.6,29.2,0,0,11,6,107.8,1012.6,4.6,15,186.9,7,10
Punjab,Amritsar,31-10-2023,92.6,77.1,84.2,49.8,31.1,0,0,12.8,6.9,109.5,1013.8,36.2,15,181.8,7,10
Punjab,Amritsar,01-11-2023,92.2,77.1,84.3,50.2,31.8,0,0,10.1,6.5,118,1013.8,0.7,15,182,7,10
Punjab,Amritsar,02-11-2023,92.7,77.8,84.7,47.6,28.9,0,0,9.4,6.7,106.7,1012.1,0.7,15,208.3,6,10
Punjab,Amritsar,03-11-2023,92.9,77.6,84.3,41.3,22.5,0,0,12.5,6.9,335.7,1009.2,0.8,15,181.9,6,10
Punjab,Amritsar,04-11-2023,93.3,77.6,84.5,40,21.4,0,9.5,8.9,4,48.2,1009.4,38.8,15,177.4,6,10
Punjab,Amritsar,05-11-2023,92.9,77.6,85,41.9,22.5,0,28.6,10.4,5.6,117.9,1009.7,39.7,15,177.5,6,10
Punjab,Amritsar,06-11-2023,92.9,77.3,84.5,43.7,24.8,0,4.8,10.7,6,108.8,1011.2,1.4,15,176.8,6,10
Punjab,Amritsar,07-11-2023,92,76.9,84.1,43.2,24.7,0,9.5,7.2,5.4,75.4,1011.7,29.9,15,169,6,10
Punjab,Amritsar,08-11-2023,92.2,75.8,83.6,41.3,23.2,0,4.8,9.2,5.6,350.4,1012.8,2.3,15,173.1,6,10
Punjab,Amritsar,09-11-2023,91.8,76.6,83.7,40.9,22.5,0,4.8,9.4,4.9,327.4,1014,3.3,15,171.5,6,10
Punjab,Amritsar,10-11-2023,93.1,77.1,84.3,41.4,22.5,0,19,8.4,5.4,74.1,1013.5,13.3,15,170,6,10
